max_steps,strategy,student_group,success_rate,avg_steps,avg_mastery,avg_mastery_gain
20,Baseline,"Careless (B+,B++)",0.7033333333333334,15.256666666666666,0.7963776666666667,0.06651066666666666
20,Baseline,Average (B),0.08666666666666667,19.826666666666668,0.7241933333333334,0.14991533333333334
20,Baseline,Weak (C),0.0,20.0,0.4670256666666667,0.144157
20,Rule-Based,"Careless (B+,B++)",0.7066666666666667,14.8,0.7972166666666667,0.067644
20,Rule-Based,Average (B),0.07333333333333333,19.816666666666666,0.7332946666666668,0.15929633333333332
20,Rule-Based,Weak (C),0.0,20.0,0.49913966666666665,0.17512466666666665
20,Adaptive (Ours),"Careless (B+,B++)",0.91,11.846666666666666,0.8035683333333333,0.073806
20,Adaptive (Ours),Average (B),0.24666666666666667,19.473333333333333,0.7544226666666667,0.18095666666666665
20,Adaptive (Ours),Weak (C),0.0,20.0,0.4210266666666667,0.09766433333333333
30,Baseline,"Careless (B+,B++)",0.9333333333333333,16.496666666666666,0.8050663333333333,0.07468366666666668
30,Baseline,Average (B),0.4266666666666667,27.62,0.7690576666666666,0.193069
30,Baseline,Weak (C),0.0,30.0,0.520549,0.19741666666666668
30,Rule-Based,"Careless (B+,B++)",0.96,16.58,0.8060483333333334,0.07705433333333334
30,Rule-Based,Average (B),0.5166666666666667,27.333333333333332,0.7820576666666667,0.20708866666666667
30,Rule-Based,Weak (C),0.0,30.0,0.5630320000000001,0.23880733333333334
30,Adaptive (Ours),"Careless (B+,B++)",0.9966666666666667,12.326666666666666,0.8064753333333333,0.07816133333333333
30,Adaptive (Ours),Average (B),0.8166666666666667,23.536666666666665,0.7990426666666667,0.22377499999999997
30,Adaptive (Ours),Weak (C),0.006666666666666667,29.98,0.47579133333333334,0.153254
40,Baseline,"Careless (B+,B++)",0.9933333333333333,16.863333333333333,0.8068413333333333,0.077175
40,Baseline,Average (B),0.7133333333333334,32.20666666666666,0.7933636666666666,0.21881433333333333
40,Baseline,Weak (C),0.016666666666666666,39.92,0.577131,0.25208766666666665
40,Rule-Based,"Careless (B+,B++)",0.99,16.07,0.807045,0.07712966666666667
40,Rule-Based,Average (B),0.78,31.273333333333333,0.7989333333333334,0.2242026666666667
40,Rule-Based,Weak (C),0.016666666666666666,39.95,0.609138,0.28509333333333337
40,Adaptive (Ours),"Careless (B+,B++)",1.0,12.186666666666667,0.80584,0.07566566666666667
40,Adaptive (Ours),Average (B),0.98,24.106666666666666,0.8068679999999999,0.23291266666666668
40,Adaptive (Ours),Weak (C),0.08,39.67,0.5076419999999999,0.18562633333333334
