max_steps,subskill,count,percentage
30,sign_handling,6,0.0645
30,combine_like_terms,9,0.0968
30,sign_distribution,2,0.0215
30,expand_monomial,13,0.1398
30,expand_binomial,16,0.172
30,family_isomorphism,47,0.5054
40,sign_handling,1,0.0141
40,combine_like_terms,3,0.0423
40,sign_distribution,3,0.0423
40,expand_monomial,18,0.2535
40,expand_binomial,15,0.2113
40,family_isomorphism,31,0.4366
50,sign_handling,3,0.0577
50,combine_like_terms,1,0.0192
50,sign_distribution,5,0.0962
50,expand_monomial,12,0.2308
50,expand_binomial,10,0.1923
50,family_isomorphism,21,0.4038
60,sign_handling,1,0.025
60,combine_like_terms,2,0.05
60,sign_distribution,3,0.075
60,expand_monomial,7,0.175
60,expand_binomial,12,0.3
60,family_isomorphism,15,0.375
70,sign_handling,1,0.0227
70,combine_like_terms,1,0.0227
70,sign_distribution,2,0.0455
70,expand_monomial,9,0.2045
70,expand_binomial,13,0.2955
70,family_isomorphism,18,0.4091
