max_steps,subskill,avg_initial_mastery,avg_final_mastery,avg_gain
30,sign_handling,0.3207,0.5603,0.2396
30,combine_like_terms,0.3186,0.5668,0.2482
30,sign_distribution,0.3218,0.5619,0.2401
30,expand_monomial,0.3195,0.4408,0.1212
30,expand_binomial,0.3205,0.4226,0.1021
30,family_isomorphism,0.3212,0.3632,0.042
40,sign_handling,0.3188,0.5791,0.2603
40,combine_like_terms,0.3194,0.5975,0.2781
40,sign_distribution,0.3187,0.5773,0.2586
40,expand_monomial,0.3173,0.4806,0.1633
40,expand_binomial,0.3201,0.4696,0.1495
40,family_isomorphism,0.3173,0.3971,0.0799
50,sign_handling,0.3168,0.5932,0.2763
50,combine_like_terms,0.3211,0.6202,0.2991
50,sign_distribution,0.3187,0.5934,0.2746
50,expand_monomial,0.3185,0.5037,0.1852
50,expand_binomial,0.3158,0.4932,0.1774
50,family_isomorphism,0.318,0.4231,0.1051
60,sign_handling,0.3205,0.6046,0.2842
60,combine_like_terms,0.3177,0.6395,0.3218
60,sign_distribution,0.3201,0.608,0.2878
60,expand_monomial,0.3197,0.5244,0.2047
60,expand_binomial,0.3235,0.5219,0.1983
60,family_isomorphism,0.3218,0.4528,0.131
70,sign_handling,0.3207,0.6135,0.2928
70,combine_like_terms,0.3194,0.648,0.3286
70,sign_distribution,0.3196,0.6126,0.293
70,expand_monomial,0.3208,0.5432,0.2224
70,expand_binomial,0.3221,0.5381,0.216
70,family_isomorphism,0.3156,0.4627,0.1471
