max_steps,seed,episodes,escape_from_c_rate,avg_final_mastery,avg_steps_used,avg_mastery_gain
30,42,100,0.11,0.432463,29.54,0.128584
30,43,100,0.11,0.433955,29.64,0.137762
30,44,100,0.12,0.447215,29.23,0.145395
30,45,100,0.11,0.42584,29.42,0.127039
30,46,100,0.24,0.454968,28.77,0.150016
30,47,100,0.12,0.444797,29.15,0.141849
30,48,100,0.1,0.413913,29.58,0.112567
30,49,100,0.13,0.447833,29.26,0.141432
30,50,100,0.12,0.437012,29.47,0.137152
30,51,100,0.12,0.440123,29.45,0.141066
40,42,100,0.28,0.46062,37.7,0.162681
40,43,100,0.27,0.458675,37.34,0.156787
40,44,100,0.31,0.485453,37.49,0.185842
40,45,100,0.3,0.476599,37.29,0.178197
40,46,100,0.43,0.500464,35.54,0.198234
40,47,100,0.27,0.464329,37.94,0.162778
40,48,100,0.21,0.442594,38.31,0.146077
40,49,100,0.29,0.483993,37.36,0.186661
40,50,100,0.4,0.488965,36.34,0.185581
40,51,100,0.23,0.461101,38.29,0.164668
50,42,100,0.43,0.498648,43.81,0.198488
50,43,100,0.43,0.503139,45.78,0.210125
50,44,100,0.45,0.500781,42.77,0.202139
50,45,100,0.45,0.4961,43.25,0.19137
50,46,100,0.51,0.51029,42.67,0.210415
50,47,100,0.42,0.491403,45.45,0.198676
50,48,100,0.35,0.472033,45.35,0.173046
50,49,100,0.5,0.503649,42.26,0.199897
50,50,100,0.49,0.51143,43.73,0.211214
50,51,100,0.41,0.487713,45.13,0.188342
60,42,100,0.55,0.513769,48.8,0.211532
60,43,100,0.6,0.527352,48.09,0.22495
60,44,100,0.59,0.527807,47.96,0.225904
60,45,100,0.64,0.536413,45.82,0.234696
60,46,100,0.55,0.513732,47.2,0.217242
60,47,100,0.56,0.52127,48.83,0.21732
60,48,100,0.5,0.503206,49.58,0.199985
60,49,100,0.62,0.537572,47.9,0.235033
60,50,100,0.54,0.525616,50.01,0.223795
60,51,100,0.68,0.529109,45.56,0.22956
70,42,100,0.68,0.541322,50.36,0.240209
70,43,100,0.65,0.541847,52.36,0.240116
70,44,100,0.69,0.544526,51.91,0.246303
70,45,100,0.61,0.532336,52.08,0.233611
70,46,100,0.61,0.528512,51.93,0.230396
70,47,100,0.67,0.542638,52.33,0.239002
70,48,100,0.59,0.525762,54.32,0.226173
70,49,100,0.73,0.549997,49.1,0.246595
70,50,100,0.57,0.523116,52.73,0.225555
70,51,100,0.66,0.539878,53.18,0.237929
