condition,subskill,count,percentage
weak_ab3_foundation,sign_handling,2,0.0225
weak_ab3_foundation,combine_like_terms,0,0.0
weak_ab3_foundation,sign_distribution,13,0.1461
weak_ab3_foundation,expand_monomial,17,0.191
weak_ab3_foundation,expand_binomial,16,0.1798
weak_ab3_foundation,family_isomorphism,41,0.4607
weak_ab3_foundation_rag,sign_handling,9,0.1047
weak_ab3_foundation_rag,combine_like_terms,4,0.0465
weak_ab3_foundation_rag,sign_distribution,4,0.0465
weak_ab3_foundation_rag,expand_monomial,19,0.2209
weak_ab3_foundation_rag,expand_binomial,8,0.093
weak_ab3_foundation_rag,family_isomorphism,42,0.4884
