condition,subskill,avg_initial_mastery,avg_final_mastery,avg_gain
weak_ab3_foundation,sign_handling,0.3239,0.6883,0.3644
weak_ab3_foundation,combine_like_terms,0.3264,0.702,0.3756
weak_ab3_foundation,sign_distribution,0.3095,0.6718,0.3622
weak_ab3_foundation,expand_monomial,0.3225,0.5907,0.2682
weak_ab3_foundation,expand_binomial,0.3276,0.5889,0.2613
weak_ab3_foundation,family_isomorphism,0.3187,0.5355,0.2168
weak_ab3_foundation_rag,sign_handling,0.3196,0.6917,0.3721
weak_ab3_foundation_rag,combine_like_terms,0.3275,0.7089,0.3815
weak_ab3_foundation_rag,sign_distribution,0.329,0.6806,0.3516
weak_ab3_foundation_rag,expand_monomial,0.3254,0.5921,0.2667
weak_ab3_foundation_rag,expand_binomial,0.3193,0.6017,0.2824
weak_ab3_foundation_rag,family_isomorphism,0.317,0.5185,0.2015
